videoId,title,description,tags,publishedAt,likeCount,commentCount,viewCount
4NYxt1kO7Pg,PORE STICK 🤢 #fypシ #subscribe #makeup #skincare #sephora,,[],2024-02-03T03:30:59Z,195313,952,9322257
pu9fVZAFBXQ,ELF HALO GLOW AT WALMART! #elfcosmetics #preppy #trendingskincare #influencer #sephorahaul #walmart,,[],2024-03-05T16:00:36Z,1367,239,20576
kzn6HFgCAe0,TIKTOK’S BEAUTY OVERCONSUMPTION CRISIS IS OUT OF CONTROL | Influencer Insanity Ep 14,"Use code HANNAHALONZO130 to get $130 off across your first 4 boxes of Good Chop at https://bit.ly/3yi8m01!

#hannahalonzo #influencerinsanity #overconsumption #tiktok 

I am creating these videos for entertainment and educational purposes. Please do not contact these people on their social media platforms or send them hateful comments/messages. I do not condone online bullying or harassment. 

If you love this content, please consider supporting the channel with a channel membership!
https://www.youtube.com/channel/UCGKUQte8RBCNnI_OYpckErg/join

LET'S CONNECT!
Management & Sponsorship Opportunities: contact@tablerock.com
Business/Interview Inquiries: hannahalonzo06@gmail.com
Instagram:  @thehannahthaler https://www.instagram.com/thehannahthaler/ 
Merch: https://www.hannahalonzo.com
Amazon Storefront: https://www.amazon.com/shop/hannahalonzo
Shopping Links (Shop my Posts): https://shopltk.com/explore/HannahAlonzo
Poshmark app: @hannahscloset12  https://poshmark.com/closet/hannahscloset12

Hannah Thaler
PO Box 561014
Rockledge, FL 32956

CHAPTERS
0:00 Intro
4:16 Skincare Room Tour
8:40 Too Overwhelming
12:22 Is this an addiction?
16:35 Blush Collection
21:03 These Make Me Angry
26:30 Content Creation Angle 
32:06 Final Thoughts

VIDEOS/PLAYLISTS MENTIONED
Influencer Ep 1: Restock Influencers https://www.youtube.com/watch?v=PEY8IyB653c&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj
Influencer Ep 2: Stanley Cups https://www.youtube.com/watch?v=y95mC9y_Vq8&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj&index=2
Influencer Ep 5: Rage Bait https://www.youtube.com/watch?v=A4jsSuxhooM&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj&index=5
Influencer Ep 11: Self Care Content https://www.youtube.com/watch?v=sRk5RX-vLBw&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj&index=11
Anti-MLM Playlist: https://youtube.com/playlist?list=PL7Twtitm5QK4OuyhEd7VpDYMmkhMLRJcK
Influencer Insanity Playlist: https://www.youtube.com/playlist?list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj

MLM TOP FAILS & INFLUENCER INSANITY CONTENT SUBMISSIONS: 
1. Screen record the video or screenshot the photo you wish to submit. Don't worry about cropping out usernames or blurring faces, I do all of this with my editing software
2. Upload the content to your Google Drive 
3. Right click on the content you uploaded, click ""share"" and type in my email hannahalonzo06@gmail.com to share access with me
THANK YOU!

MLM HORROR STORY SUBMISSIONS: Please email me at horrorstoryforhannah@gmail.com and put ""MLM Horror Story"" in the title. 
(I really appreciate stories that are broken up into paragraphs, that have punctuation, and are proof-read! I will not feature stories that are too difficult or time consuming for me to read due to errors)  

FAIR USE DISCLAIMER: Copyright Disclaimer - under Section 107 of the copyright act of 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. All faces will be blurred to protect privacy. All photos and videos were originally posted publicly on social media platforms. All opinions in this video are my own.

FTC DISCLAIMER: Some of the links above are affiliate links, meaning that I get a small commission when you make a purchase using them. This does not affect you as the customer, but does help to support me! This video is sponsored by Good Chop.","['anti-mlm', 'monat', 'monat global', 'monat hair loss', 'mlm fails', 'mlm top fails', ""why you shouldn't join an mlm"", 'leaving my mlm', 'anti mlm community', 'finance', 'investing', 'influencer', 'influencer insanity', 'lying influencers', 'fake', 'social media', 'instagram', 'tiktok', 'out of touch', 'out of touch with reality', 'out of touch influencers', 'self care', 'self care routine', 'skin care', 'skin care routine', 'stanley cup', 'bath', 'overconsumption', 'over consumption', 'makeup', 'sephora haul', 'tree hut scrub', 'treehut']",2025-01-06T16:00:45Z,50381,7872,1266962
WQwQ2x-N1Ds,*ASMR* Morning Skincare routine under 1000 😍 #ishitakhanna,"*sound on* 🔉 

Build a Skincare routine for under 1000₹ 🧴

Products used:
@dotandkey.skincare Barrier Repair Gentle Face Wash 
@dotandkey.skincare Barrier Repair Face Cream

Use my coupon code ISHITA for a discount 

#Ad #Skincare #asmr","['ishita khanna', 'myntra haul', 'skincare', 'skincare routine', 'what is the best skin care routine', 'best skin care routine products', 'daily skincare for glowing skin', 'skincare day and night routines', 'skin care routine products', 'dot and key', 'dot and key products', 'dot and key skincare', 'asmr', 'asmr skincare', 'dot and key asmr', 'morning skincare', 'morning skincare routine', 'dot and key skincare routine', 'skincare routine under 1000', 'skincare under 1000', 'barrier repair skincare', 'barrier repair']",2024-07-20T09:16:47Z,13864,86,531194
x97qSga6-0g,Skincare and makeup haul 💄#jonathanjoly #skincare #daughter,,[],2024-07-29T18:32:43Z,106605,5834,3147632
RQnOPio-lnE,YouTubers Pick My Skincare Routine‼️ *preppy*,,[],2024-04-13T17:00:34Z,367639,1913,10055038
CXvG2CBJ3SE,Olivia Rodrigo's Guide to Effortless Skin-Care and Makeup | Beauty Secrets | Vogue,"Produced by Vogue with Glossier

Pop star Olivia Rodrigo’s skin and makeup routine has become a daily reminder of self-care.

Filmed at the Peninsula Beverly Hills

Shop this beauty routine:
Glossier Beauty Bag: https://glossier.79ic8e.net/159eQR
Glossier Stretch Concealer: https://glossier.79ic8e.net/kjOgGz
Glossier Boy Brow: https://glossier.79ic8e.net/Xxmy3o
Glossier Pro Tip: https://glossier.79ic8e.net/e41vPr
Glossier Ultralip: https://glossier.79ic8e.net/QOj7Qo

Still haven’t subscribed to Vogue on YouTube? ►► http://bit.ly/vogueyoutubesub
Want to hear more from our editors? Subscribe to the magazine ►► http://bit.ly/2wXh1VW
Check out our new podcast 'In Vogue: The 1990s'  ►► https://link.chtbl.com/iv-yt-description
 
ABOUT VOGUE
Vogue is the authority on fashion news, culture trends, beauty coverage, videos, celebrity style, and fashion week updates. 

Olivia Rodrigo's Guide to Effortless Skin-Care and Makeup | Beauty Secrets | Vogue","['beauty', 'celebrity', ""driver's license singer"", 'how to', 'olivia rodrigo', 'olivia rodrigo beauty secrets', ""olivia rodrigo driver's license"", 'olivia rodrigo getting ready', 'olivia rodrigo getting ready routine', 'olivia rodrigo makeup routine', 'olivia rodrigo music', 'olivia rodrigo routine', 'olivia rodrigo skin', 'olivia rodrigo skin care', 'olivia rodrigo skin care routine', 'olivia rodrigo vogue', 'olivia rodrigo vogue beauty secrets', 'olivia rodrigo vogue makeup', 'olivia rodrigo vogue routine', 'vogue']",2021-04-29T16:00:09Z,636640,10177,17823753
7xzX8dK5yPE,EXTENSIVE SKINCARE ROUTINE 😳🧖🏻‍♀️,,[],2024-08-26T21:19:57Z,458082,2064,11884510
10l75AIOwIw,Influencer PR UNBOXING HAUL📦✨ Loving Tan! #selftanner #prhaul #unboxingvideo #influencerpr,,[],2024-07-31T06:35:27Z,4455,28,88485
g9DoQlCJ1yQ,"Tyla’s All-in-One Wellness, Skincare, and Makeup Routine | Beauty Secrets | Vogue","Rising superstar Tyla takes some time out of her busy schedule to show us her getting ready routine. The South African songstress talks about her skincare journey, using blades to get her eyebrows exactly how she likes it, listening to her new record non-stop, and how she feels about ""coming out of nowhere.""

Shop this beauty routine:

Youth to the People Superfood Gentle Antioxidant Cleanser: https://tinyurl.com/2bkhhnuy
Caudalie Beauty Elixir: https://amzn.to/4al9gGP
Weleda Skin Food Original Ultra-Rich Body Cream: https://amzn.to/3TBlRPa
Van Der Hagen Stainless Steel Razor Blades: https://amzn.to/43QZgTy
Black Girl Sunscreen Moisturizing Sunscreen Lotion SPF 30: https://tinyurl.com/y6afsttb
Vaseline 100% Pure Petroleum Jelly: https://amzn.to/3U2zTL4
Pat McGrath Labs Sublime Perfection Concealer: https://tinyurl.com/yc5uwtty
Too Faced Born This Way Multi-Use Sculpting Concealer: https://tinyurl.com/twre29an
BLK/OPL Soft Velvet Finishing Color: https://amzn.to/4ajUzUq
Charlotte Tilbury Beautiful Skin Sun-Kissed Glow Bronzer: https://tinyurl.com/3a7z727z
Pat McGrath Labs Skin Fetish: Divine Blush: https://tinyurl.com/5n6j389w
L'Oréal Telescopic Mascara: https://amzn.to/43JTrHm
Laneige Lip Sleeping Mask: https://amzn.to/3xdPKNR
MAC Cosmetics Lip Liner: https://tinyurl.com/8bzttnpe
Mielle Organics Rosemary Mint Strengthening Edge Gel: https://amzn.to/3xmTKvG

Want to shop even more celeb-loved products? Visit The Beauty Secrets Shop: https://www.vogue.com/beauty-secrets


When you buy something through our retail links, we earn an affiliate commission.
​​


Director: Gabrielle Reich
DP: Dominik Czaczyk      
Editor: Michael Suyeda

Associate Producer: Lea Donenberg
Production Manager: Natasha Soto- Albors
Production Coordinator: Ava Kashar
Associate Talent Manager, Video: Jenna Caldwell

Post Production Supervisor: Alexa Deutsch
Post Production Coordinator: Ian Bryant
Supervising Editor: Erica DeLeo
Assistant Editor: Fynn Lithgow
Filmed at: The Hollywood Roosevelt      

Still haven’t subscribed to Vogue on YouTube? ►► http://bit.ly/vogueyoutubesub
Get the best of Vogue delivered right in your inbox ►► https://bit.ly/3xAZyQg
Want to hear more from our editors? Subscribe to the magazine ►► http://bit.ly/2wXh1VW
Check out our new podcast 'In Vogue: The 1990s'  ►► https://link.chtbl.com/iv-yt-description
 
ABOUT VOGUE
Vogue is the authority on fashion news, culture trends, beauty coverage, videos, celebrity style, and fashion week updates.","['beauty', 'beauty secrets', 'celebrity', 'celebrity makeup tutorial', 'how to', 'how-to', 'makeup tutorial', 'tyla', 'tyla beauty', 'tyla beauty secrets', 'tyla get ready with me', 'tyla getting ready', 'tyla getting ready routine', 'tyla look', 'tyla makeup', 'tyla makeup tutorial', 'tyla routine', 'tyla skincare', 'vogue', ""women's lifestyle""]",2024-04-04T16:00:06Z,117776,1852,3370493
uSCUNfwMOJs,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,,[],2024-09-05T03:28:00Z,437323,1104,8453175
RAlrvgmsU4w,$770 skincare serum… (is it good? 👀),,[],2023-05-07T00:44:17Z,1248513,4118,23839742
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,"Thanks for watching!! 💋 Product Links below! #ad  Go to https://Squarespace.com for a free trial and when you're ready to launch go to https://squarespace.com/jeanwatts to save 10% off your first purchase of a website or domain! 

Have Instagram/ Tik Tok? Follow me @jean_watts 💕
Everything Jean: https://jeanwatts.komi.io  💕

🧚🏼‍♀️ Music: https://open.spotify.com/artist/3ZbmHVXqRhxAYlRjbG30RL?si=GcH8ZvmmTOSkqaykizhAig 

Amazon Store: https://www.amazon.com/shop/jean_watts 💕
Website: https://www.jeanwattsuniverse.com

Skin Prep: 
Facial Polish: https://amzn.to/3OdyITh 
Hydration Mask: https://amzn.to/3NUXHuM 
Face Oil:  
Aquaphor: https://amzn.to/3xPMdTQ 
Tightening Face Mask: https://amzn.to/3QplFQv 
Rose Water Toner: https://amzn.to/3HulgZ5 
Primer: https://amzn.to/3tNJaZZ 

Face:
Radiance Booster: https://www.ulta.com/p/radiance-booster-pimprod2026995?sku=2585993&cmpid=PS_Non!google!Product_Listing_Ads&cagpspn=pla&CATCI=pla-1662820419044&CAAGID=117800399429&CAWELAID=330000200002874838&gclid=CjwKCAjwtcCVBhA0EiwAT1fY72FOLtEz8oe47XxC4D8qfdGPfM7MPlC2U7IyCQMJLwdZXBUM345_BhoCHM8QAvD_BwE 
Foundation: https://amzn.to/3xDw0jn 
Beauty Blender: https://amzn.to/3OvNPaH 
Concealer: https://amzn.to/3bfozHE 
Concealer 2: https://amzn.to/3bhDPUs 
Bronzer Duo: https://go.magik.ly/ml/1rpmg/ 
Exact Face brushes: https://www.iconiclondoninc.com/collections/face-brushes/products/all-angles-brush-set 
Face Brushes Dupe: https://amzn.to/3y3Yi88 
Setting Powder: https://amzn.to/3y8s63z 
Powder Puff: https://amzn.to/3QyhVfG 
Mac Bronzer: https://amzn.to/3zQ2lWM 
Blush: https://amzn.to/3Oj5DWG 
Blush Brush 1: https://amzn.to/39HiZNJ 
Mac Gold Deposit: https://amzn.to/3xDLzHH 
Blush Brush2: https://amzn.to/3xISdwm 
Marc Jacobs Highlighter: discontinued :( but here’s a dupe: https://amzn.to/3OmX7pq 

Eyes: 
Brow Pencil: Not Available yet - here’s a dupe: https://amzn.to/3N2qhZX 
Brow Powder: https://amzn.to/3OmXlNi 
Brow Brush Dupe: https://amzn.to/3n0FvEv 
Makeup by Mario Shadow Pallet: 
Shadow Pallet Dupe: https://amzn.to/3n5GlzQ 
Eye shadow Brushes Dupe: https://amzn.to/3O27jnH 
Liner Brush Dupe: https://amzn.to/3n0FvEv 
Mascara: https://amzn.to/3QxLEp8 
Lashes: https://amzn.to/3HLoGqE 
Blue Lash Glue: https://amzn.to/3mZK8yy 
Nyx Brow Tint Pen: https://amzn.to/3QwUpjh 
Tristique Highlighter Stick: https://amzn.to/3b8rkKF 
Brow Gel: https://amzn.to/39CqOV4 

Lips: 
Mac Lipstick: 
Lipliner: 
Lipliner Close Dupe:https://amzn.to/3QBpcva 
Lip Oil: https://www.sephora.com/product/lip-oil-P451920?skuId=2297539&icid2=products%20grid:p451920:product 

Nail Polish Color: https://amzn.to/3xyUp9y


----

Jean Watts is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to Amazon.com.",[],2022-06-20T20:13:59Z,116583,833,4391282
DiWvfBNUPa8,They are free right? #pov #sephorakids #sephora #makeup #skincare,,[],2024-08-15T22:59:34Z,334166,752,7106485
CT7J9bcWDNg,Following a 10yr olds skincare routine *$500 skincare*👀😭,,[],2024-01-10T00:28:00Z,206335,3200,6481216
zQ3HBn6ksL0,Girl Dinner🍽️🎀 #skincare #makeup #aesthetic #preppyyyy #cosmetics #shorts #fyp #viralbeauty,,[],2024-10-20T16:01:03Z,26557,343,1466983
gzAf3J7R_nI,what’s your fav skincare product! 🩷 #preppy #skincare #blowup #explorepage #explore #preppy #grwm,,[],2024-08-22T23:55:26Z,38321,316,1321922
tLGK6TsgZKY,My Current Skincare Routine #Partner,"Brooke Monk Socials:
Fanfix: https://app.fanfix.io/@brookemonk
Instagram: https://instagram.com/brookemonk
TikTok: https://tiktok.com/@brookemonk_
Snapchat: brookemonk My current everyday skincare routine! I hope it helped!💖
 
numbuzin’s Amazon Storeㅣhttps://amzn.to/3JzJHUD
 
Products I used
1) No.2 Deep Clean Fresh Cream Cleanser: https://amzn.to/3jhOfYD
2) No.2 Thermal Water 89% Mineral Toner: https://amzn.to/3DsDf1e
3) No.6 Deep Sleep Mask Serum: https://amzn.to/3wJ8NMH
 
For the full video👉👉https://youtu.be/8a3uikmQIDk",[],2023-02-12T18:04:25Z,94749,813,1942386
GkcbHKWXwss,Are you that GEN ALPHA skincare influencer??? #genalpha #viral #garzacrew,"Follow us on all other socials!

TikTok -  https://www.tiktok.com/@garzacrew?lang=en
Instagram - https://www.instagram.com/garzacrew?igsh=MTNueHhqdjFiY2t3bg==
Facebook - https://www.facebook.com/officialgarzacrew?mibextid=LQQJ4d&rdid=U78CXIa3tI1z9ENk

#twin #twins #twingirls #siblings #sisters #shortsfeed #shortsyoutube  #twinmom #skincareforkids #skincare 

Garza Crew / garzacrew / Garza crew twins / Garza crew youtube / Garza crew TikTok / Garza crew twins TikTok / Garza crew twin girls / twins / twin girls / twin sisters / Garza crew family / Garza crew age / Garza crew Instagram / Koti and Haven / Haven and Koti / Koti and Haven Garza / Haven and Koti Garza / Haven and Koti YouTube / Koti and Haven YouTube / Koti and Haven TikTok / Haven and Koti TikTok / Koti and Haven GRWM / Haven and Koti GRWM / Garza crew GRWM / Garza crew twins GRWM / Koti and Haven age / Haven and Koti age / Garza crew skincare  / Adrea Garza / Adrea Garza tiktok / Garza crew mom / Garza twins / twin mom / Garza crew controversy / gen alpha / skincare for kids / kids skincare /  influencer","['Garza Crew', 'garzacrew', 'Garza crew twins', 'Garza crew youtube', 'Garza crew TikTok', 'Garza crew twin girls', 'twins', 'twin girls', 'Koti and Haven Garza', 'Haven and Koti Garza', 'Haven and Koti YouTube', 'Garza crew GRWM', 'Garza crew skincare', 'Adrea Garza', 'Garza crew mom', 'twin mom', 'garza crew', 'Garza crew twins TikTok', 'Garza crew family', 'Koti and Haven TikTok', 'Haven and Koti TikTok', 'Garza crew twins GRWM', 'Garza crew controversy', 'gen alpha', 'shorts', 'trend', 'Koti and Haven YouTube']",2025-02-08T20:00:11Z,14276,1669,503226
ksECwv1HKuY,Mini Sephora haul 💕 #makeup #sephorahaul #preppy #preppyyyy #Sephora #rarebeauty #skincare #girly,,[],2024-04-21T15:58:55Z,415664,18538,8614990
M1HHMGz11wI,Trying to become an influencer day 3!!! #capcut #makeup #skincare #haul #glowrecipe #cute#preppy,,[],2025-03-28T20:05:21Z,158,14,4483
QbIZOru-hJk,what NOT to buy in Korea 🙅🏻‍♀️❌🇰🇷,,[],2023-08-10T13:59:29Z,806806,1059,13488641
XRTdVQiV2oI,fr #makeup #skincare #vanity #subscribe #aesthetic #grwm #preppy #influencer,,[],2025-01-11T01:58:04Z,0,0,1085
scXZ3hj8GXc,"Giveaway worth ₹60,000😱🎀✨ #giveaway #beautyinfluencer #skincarecommunity #giveaways",,[],2024-12-29T17:10:19Z,2691,408,68037
rb9afgRlfo8,Grwm! 🌴🌞🌊 #preppy #skincare #makeup #grwm #influencer #shorts,,[],2025-04-14T22:42:44Z,189,3,6839
qsKt8ySUQ-A,Which brand surprised you? #skincare #makeup #sephora #beautyproducts #brands #founder #preppy #haul,,[],2024-10-31T09:16:30Z,46747,480,1002755
x2MuJj_oXLE,L’Oréal Mascara #makeup #skincare #content #beauty #contentcreator #makeupreview #influencer,,[],2024-02-02T16:50:34Z,1,0,38
2RxS1WWEt1Y,#skincare #makeup #grwm #influencer #preppy #jellycat #aesthetic #haul #sephora #glowrecipe #fyp 🎀,,[],2025-04-16T15:54:45Z,105,6,4420
_czXJhGesvo,#preppy #beautyinfluencer #skincare #influencer #makeup #aesthetic #grwm #travel #springbreak,,[],2025-04-09T06:23:14Z,902,56,63101
-Yvsa3VJVBI,Truth about Indian Skincare 😏,,[],2025-03-11T14:24:26Z,15485,121,365907
tBf9UdkEjm8,new shine ✨️#iherb #lips  #influencer #skincare #skincareroutine #makeup #skincaretips,,[],2025-03-08T16:40:08Z,20,1,2604
UxMxTbT6-O0,Night time Skincare routine for glass skin 🫧non-sponsor video ￼#skincare #glassskin #nightcore,,[],2024-01-20T03:37:18Z,76537,250,2001702
h5YQu1ajzxs,Indian Dupes of Viral Beauty Products,,[],2024-11-05T07:36:32Z,136835,270,2303026
dYdp70pcDAI,elegent stuff🥹#kitsch #iherb #yesstyle #influencer #skincare #skincareroutine #makeup #skincaretips,,[],2025-03-12T21:20:18Z,30,0,541
9BjIGWAnuUo,grwm #makeup #skincare #vanity #subscribe #aesthetic #grwm #preppy #influencer,,[],2025-01-11T02:03:27Z,0,0,43
aVdU3A4VVMs,skincare or makeup?!🌟🧖🏼‍♀️#influencer #preppy #viral #fypシ #blowup #grwm #makeup #skincare #fyp🪩,,[],2024-03-25T17:21:28Z,368,36,5959
6LHYNRMJxGg,I love it #iherb #yesstyle #influencer #skincare #skincareroutine #makeup #skincaretips,,[],2024-07-15T15:04:33Z,9,0,744
EDsfn6wiz-0,Models Only Use THESE 4 Skincare Products for Clear Skin 💓,"#makeup tips, #beauty hacks, #skincare routine, #glowing skin, #budget beauty tips, #DIY beauty, #makeup tutorial, #natural makeup look, #flawless makeup, #skincare tips, #glow up, #beauty on a budget, #makeup for beginners, #makeup hacks, #flawless skin, #easy makeup looks, #beauty routine, #self-care tips, #skincare products, #makeup transformation, #affordable beauty, #beauty influencer, #skincare hacks, #glowing skin tips, #makeup tricks,  skin, #everyday makeup","['#makeup tips', '#beauty hacks', '#skincare routine', '#glowing skin', '#budget beauty tips', '#DIY beauty', '#makeup tutorial', '#natural makeup look', '#flawless makeup', '#skincare tips', '#glow up', '#beauty on a budget', '#makeup for beginners', '#makeup hacks', '#flawless skin', '#easy makeup looks', '#beauty routine', '#self-care tips', '#skincare products', '#makeup transformation', '#affordable beauty', '#beauty influencer', '#skincare hacks', '#glowing skin tips', '#makeup tricks', 'skin', '#everyday makeup']",2025-04-19T13:11:00Z,9459,45,386195
ktXPEorqTJA,#preppy #beautyinfluencer #skincare #influencer #makeup #beauty #skincarebeauty #viral #grwm #fyp,,[],2025-04-28T14:19:19Z,53,8,4629
